TradingDesk,total_credito
KAT,13192765.534120373
ID2,14768195.229614472
FRA,10551161.220152756
APP,28085573.43768893
348,248537.83978232444
PAL,1930282.8492789057
652,10048658.161088951
PDA,3864720.96020436
PEM,1070220.709381331
APO,8519196.919580523
PID,13064187.956444675
678,816721669.746952
KCP,402669680.3021954
BVP,156060938.6542138
RFA,24040761.41222667
KOP,70911616.74881528
134,896006988.0157207
CPI,15892589.356943514
846,409519026.7098115
IRF,63416042.9456546
