Emissor,RatingGrupo,TradingDesk,pl_emissor,PL
COPEL  DISTRIBUICAO S/A,Baa3,134,266086.0301183796,7003331463.740895
MRS LOGISTICA S/A,Baa3,RFA,21174.37258479533,6165720738.95119
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,678,1750161.0350688957,6318358039.8425455
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,KCP,681585.18694163,3424900701.5180855
MRS LOGISTICA S/A,Baa3,KCP,453059.8510364263,3424900701.5180855
MRS LOGISTICA S/A,Baa3,678,1163358.173020239,6318358039.8425455
MRS LOGISTICA S/A,Baa3,APO,8401.286859279042,2279627646.384785
MRS LOGISTICA S/A,Baa3,IRF,3314460.7507596626,168954523.486945
MRS LOGISTICA S/A,Baa3,348,208.15824615035692,9225719.601444999
COPEL  DISTRIBUICAO S/A,Baa3,RFA,21769.446938625413,6165720738.95119
MRS LOGISTICA S/A,Baa3,PID,27221.864677912345,3937179801.4903502
MRS LOGISTICA S/A,Baa3,PAL,3993.6268539452253,18720368.46087
COPEL  DISTRIBUICAO S/A,Baa3,IRF,4821590.44629276,168954523.486945
COPEL  DISTRIBUICAO S/A,Baa3,PDA,3244.7288899542486,1172652382.054455
COPEL  DISTRIBUICAO S/A,Baa3,KCP,80077.95597326107,3424900701.5180855
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,846,516161.57577905676,3130395619.174485
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,APO,12638.932055958316,2279627646.384785
MRS LOGISTICA S/A,Baa3,APP,58378.67434579358,8430325498.580385
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PAL,6008.029401842809,18720368.46087
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,ID2,19269.83471007376,3488179932.21023
MRS LOGISTICA S/A,Baa3,ID2,12808.946864612873,3488179932.21023
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PID,40952.69020847951,3937179801.4903502
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,APP,87825.12857044832,8430325498.580385
COPEL  DISTRIBUICAO S/A,Baa3,348,41.93726817169503,9225719.601444999
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,RFA,31854.817114260422,6165720738.95119
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PDA,12192.621300392806,1172652382.054455
COPEL  DISTRIBUICAO S/A,Baa3,678,254975.8246218171,6318358039.8425455
MRS LOGISTICA S/A,Baa3,134,1160296.9357828062,7003331463.740895
COPEL  DISTRIBUICAO S/A,Baa3,846,67877.51123799432,3130395619.174485
MRS LOGISTICA S/A,Baa3,PDA,8104.617435843141,1172652382.054455
MRS LOGISTICA S/A,Baa3,846,343100.30663675256,3130395619.174485
COPEL  DISTRIBUICAO S/A,Baa3,ID2,13654.306633504975,3488179932.21023
COPEL  DISTRIBUICAO S/A,Baa3,PID,10987.134506693097,3937179801.4903502
COPEL  DISTRIBUICAO S/A,Baa3,APO,8456.759604995177,2279627646.384785
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,IRF,4971426.591947604,168954523.486945
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,134,1745555.6966131215,7003331463.740895
COPEL  DISTRIBUICAO S/A,Baa3,PEM,13.618500146712856,4500317.361375
COPEL  DISTRIBUICAO S/A,Baa3,PAL,870.1002453889195,18720368.46087
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,348,313.15417233808625,9225719.601444999
COPEL  DISTRIBUICAO S/A,Baa3,APP,22258.328825098226,8430325498.580385
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PEM,8.769421246208292,4500317.361375
