Emissor,Ativo,ExpiracaoAnos,RatingOp,RatingGrupo
CONCESSIONARIA ROTA DAS BANDEIRAS S/A,CBAN32,9,Baa4,Baa4
CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S/A,CHPT11,2,Ba4,Ba4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEB2,4,Baa1,Baa3
JANUARIO DE NAPOLI GERACAO DE ENERGIA S/A,JANU11,18,Ba4,Ba4
BRASIL TECNOLOGIA E PARTICIPACAO S.A.,TEPA12,6,B4,B4
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,QUAL16,2,Ba4,Ba4
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,CTEE1B,6,Baa4,Baa3
VLI MULTIMODAL S.A.,VLIM14,5,Baa4,Baa4
ELETROPAULO METROPOL. ELETR. DE S.P. S/A,ELPLA5,6,Baa1,Baa4
EQUATORIAL ENERGIA S.A.,EQTL25,3,Baa4,Baa4
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,CEPEC2,7,Baa4,Baa4
COMPANHIA DE GAS DE MINAS GERAIS GASMIG,CGMG18,6,Baa4,B4
CENTRAL HIDRELETRICA SUCURI S.A.,CHSU61,3,Ba4,Ba4
VENTOS DE SAO TOME HOLDING S.A.,TOME12,2,B4,B4
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPF8,3,Baa1,Baa1
VENTOS DE SAO LUCIO I ENERGIAS RENOVAVEIS S.A.,VSLE11,16,Baa4,Baa4
TRANSBRASILIANA CONCESSIONARIA DE RODOVIA S.A,TBCR18,7,B4,B4
COMPANHIA ENERGETICA DO CEARA-COELCE,COCE18,7,B4,B4
TEREOS ACUCAR E ENERGIA BRASIL S.A.,TAEB15,2,,Baa4
ENGIE BRASIL ENERGIA SA,EGIE27,3,Baa4,Baa1
ENEL GREEN POWER VOLTA GRANDE S.A,EGVG21,4,Baa3,Baa3
LINHAS DE TAUBATE TRANSMISSORA DE ENERGIA S.A.,LTTE15,13,Baa4,B4
JANAUBA TRANSMISSORA DE ENERGIA ELETRICA S.A.,JTEE11,8,Baa4,Baa4
ELEKTRO REDES S.A.,EKTRC0,6,Baa3,Baa3
ENERGISA SA,ENGIA5,6,Baa3,Baa3
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEE26,19,Baa1,Baa3
ENGIE BRASIL ENERGIA SA,EGIE29,4,Baa4,Baa1
ENERGISA SA,ENGIB2,9,B4,Baa3
ENERGISA SA,ENGIB9,8,Baa4,Baa3
ENERGISA TRANSMISSAO DE ENERGIA S.A.,ETEN22,5,Baa4,Baa4
GBS PARTICIPACOES S.A.,GBSP11,19,Baa4,Baa4
ELETROPAULO METROPOL. ELETR. DE S.P. S/A,ELPLA7,7,Baa4,Baa4
CEMIG DISTRIBUICAO S/A,CMGD28,4,Baa4,Baa4
ENGIE BRASIL ENERGIA SA,EGIE49,4,Baa1,Baa1
CONCESSIONARIA DE RODOVIAS DO INTERIOR PAULISTA S/A,IVIAA0,13,B4,B4
ARGO V TRANSMISSAO DE ENERGIA S.A.,ODYA11,6,B4,B4
TCC - TRANSMISSORA CAMINHO DO CAFE S/A,TRCC11,3,B4,B4
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPF9,12,Baa3,Baa1
AUTOPISTA LITORAL SUL S/A.,PLSB1A,6,Baa4,Baa4
MRS LOGISTICA S/A,MRSAC1,13,Baa3,Baa3
BORRACHAS VIPAL S.A.,BVPL11,3,Baa4,Baa4
EREN DRACENA PARTICIPACOES S/A,EREN23,12,Baa4,Baa4
HIDROVIAS DO BRASIL S.A.,HBSA11,3,B4,B4
ETB - EMPRESA DE TRANSMISSAO BAIANA S.A.,ETBA12,4,Baa4,Baa3
USINA DE ENERGIA FOTOVOLTAICA DE COROMANDEL S.A.,CRMD11,12,Baa4,Baa4
USINA TERMELETRICA PAMPA SUL S.A.,UTPS22,11,Baa4,Baa4
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,CTEE18,4,Baa4,Baa3
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPD4,4,B4,Baa1
CENTRAL HIDRELETRICA SUCURI S.A.,CHSU51,3,Ba4,Ba4
JALLES MACHADO S.A.,JALL14,5,B4,B4
ENERGISA SA,ENGIB8,3,Baa4,Baa3
ELETROMIDIA S.A.,ELMD15,4,Baa4,Baa4
PETRO RIO JAGUAR PETROLEO S.A.,PEJA22,9,B4,B4
VLI MULTIMODAL S.A.,VLIM15,6,Baa4,Baa4
MATA DE SANTA GENEBRA TRANSMISSAO S/A,MSGT33,17,Baa4,Baa4
CONCESSIONARIA RODOVIAS DO SUL DE MINAS SPE S.A.,RDSM12,20,Ba1,Ba1
NEOENERGIA MORRO DO CHAPEU TRANSMISSAO E ENERGIA S.A.,NMCH11,14,B4,B4
TPE  - TRANSMISSORA PARAISO DE ENERGIA S.A.,TPEN11,3,B4,B4
EDP TRANSMISSAO ALIANCA SC S.A.,EDPA11,3,B4,B4
UHE SAO SIMAO ENERGIA S/A,UHSM12,11,Baa4,Baa4
TESC - TERMINAL SANTA CATARINA S/A,CJEN13,11,Ba4,Ba4
ATLAS LUIZ CARLOS COMERCIALIZADORA DE ENERGIA S.A.,ACRC21,19,B4,B4
AES BRASIL OPERACOES S.A.,TIET19,2,Baa4,Baa4
RDVE SUBHOLDING S.A.,RDVE11,13,B4,B4
CONFLUENCIA ENERGIA S/A,CONF11,17,Baa4,Baa4
AUTOPISTA REGIS BITTENCOURT S/A,APRB28,2,Baa4,Baa4
ALIANCA GERACAO DE ENERGIA S/A,ALIG15,11,Baa4,Baa4
CELESC GERACAO S.A,CLGR13,5,B4,B4
CALDEIRAO GRANDE ENERGIAS RENOVAVEIS S/A,CLGE11,6,Baa4,Baa4
RIO PARANA ENERGIA S/A,RIPR22,6,Baa4,Baa4
XINGU RIO TRANSMISSORA DE ENERGIA S.A.,XNGU17,10,Baa1,Baa1
COMPANHIA RIOGRANDENSE DE SANEAMENTO - CORSAN,RSAN34,3,Ba1,Baa3
AUTOPISTA REGIS BITTENCOURT S/A,APRB18,6,Baa4,Baa4
COPEL  DISTRIBUICAO S/A,CPLD28,2,Baa3,Baa3
ENERGISA SA,ENGIC6,2,Baa4,Baa3
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,CEPEC1,6,Baa4,Baa4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEE17,19,Baa1,Baa3
PETRO RIO JAGUAR PETROLEO S.A.,PEJA11,7,B4,B4
CUTIA EMPREENDIMENTOS EOLICOS S.A.,CUTI11,6,B4,B4
ENGIE BRASIL ENERGIA SA,EGIE19,1,Baa4,Baa1
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,ENMTB5,7,Baa4,Baa4
COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROBRAS CGT ELETROSUL,CTGE13,4,Ba1,Baa3
ALGAR TELECOM S.A.,ALGAB1,6,Baa4,Baa4
EQUATORIAL TRANSMISSORA 3 SPE S.A,EQSP21,9,Baa3,Baa4
PARANAIBA TRANSMISSORA DE ENERGIA S.A.,PRTE12,3,B4,B4
VIAPAULISTA  S/A,VPLT12,2,Baa4,Baa4
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,SBFC13,2,Baa4,Ba4
ENERGISA TRANSMISSAO DE ENERGIA S.A.,ETEN21,3,Baa4,Baa4
AES CAJUINA AB1 HOLDINGS S.A.,AEAB11,19,Ba1,Ba1
COPEL GERACAO E TRANSMISSAO S.A.,CPGT18,5,Baa3,Baa3
CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S/A,CHPT31,3,Ba4,Ba4
COPEL GERACAO E TRANSMISSAO S.A.,CPGT27,6,Baa3,Baa3
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,CEPEA4,4,Baa4,Baa4
COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D,CEED12,4,Baa4,Baa4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEC1,1,Baa3,Baa3
PIRAPORA SOLAR HOLDING S.A.,PRAS11,9,B4,B4
TROPICALIA TRANSMISSORA DE ENERGIA S.A.,TRPI13,18,Baa1,Baa1
CONCESSIONARIA AGUAS DE JUTURNAIBA S/A,CAJS11,16,B4,B4
ALGAR TELECOM S.A.,ALGAC2,7,Baa4,Baa4
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,ENMTA5,4,Baa4,Baa4
CENTRAL HIDRELETRICA SUCURI S.A.,CHSU31,3,Ba4,Ba4
BELO MONTE TRANSMISSORA DE ENERGIA SPE S.A.,BLMN12,6,Baa4,Baa4
ELEKTRO REDES S.A.,EKTRC1,4,Baa3,Baa3
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEC2,7,Baa1,Baa3
VIARONDON CONCESSIONARIA DE RODOVIA S/A,VRDN12,10,Ba1,Ba1
SANTA VITORIA DO PALMAR ENERGIAS RENOVAVEIS S.A.,SAVI13,6,Baa4,B4
ENERGISA SA,ENGIA6,4,Baa3,Baa3
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEA1,3,Baa3,Baa3
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEA2,11,Baa1,Baa3
INSPIRALI EDUCACAO S/A,INEL12,4,Baa4,Baa4
CEMIG GERACAO E TRANSMISSAO S/A,CMTR29,4,Baa4,Baa4
ENTREVIAS CONCESSIONARIA DE RODOVIAS S.A,ENTV12,5,Ba1,Ba1
COMPANHIA DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA DO SUL DO BRASIL ELETROBRAS CGT ELETROSUL,CTGE11,3,Ba1,Baa3
NORTE ENERGIA S/A,NTEN11,5,B4,B4
COPEL  DISTRIBUICAO S/A,CPLD26,6,Baa3,Baa3
CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S/A,CHPT21,2,Ba4,Ba4
CONCESSIONARIA ROTA DAS BANDEIRAS S/A,CBAN12,9,,Baa4
SAO MARTINHO S/A,SMTO24,12,B4,Baa3
AES BRASIL OPERACOES S.A.,TIET29,4,Baa3,Baa4
ENERGISA SA,ENGIC5,3,Baa4,Baa3
ALIANCA GERACAO DE ENERGIA S/A,ALGE16,12,Baa4,Baa4
CVC BRASIL OPERADORA E AGENCIA DE VIAGENS S.A.,CVCB14,-2,Ba4,Ba4
COLOMBO AGROINDUSTRIA SA,CLAG13,3,B4,B4
ENERGISA SA,ENGIA9,5,Baa3,Baa3
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEA4,8,Baa3,Baa3
COMPANHIA HIDRO ELETRICA DO SAO FRANCISCO - CHESF,CHSF13,6,B4,B4
MATA DE SANTA GENEBRA TRANSMISSAO S/A,MSGT23,12,Baa4,Baa4
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPG0,2,Baa1,Baa1
GDPAR SR PARTICIPACOES EM PROJETOS SOLARES S.A.,GDPA11,14,Ba1,Ba1
SERTAO I SOLAR ENERGIA SPE S.A.,SRTI11,8,Baa4,Baa4
COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D,CEED13,5,Baa4,Baa4
CENTRAL HIDRELETRICA PALMEIRAS DO TOCANTINS S/A,CHPT41,3,Ba4,Ba4
CENTRAL HIDRELETRICA SUCURI S.A.,CHSU41,3,Ba4,Ba4
ENERGISA SA,ENGIB5,1,Baa4,Baa3
COPEL  DISTRIBUICAO S/A,CPLD37,7,Baa4,Baa3
ALIANCA GERACAO DE ENERGIA S/A,ALIG14,10,Baa4,Baa4
CESP - COMPANHIA ENERGETICA DE SAO PAULO,CESPA2,5,B4,B4
AES BRASIL OPERACOES S.A.,TIET18,5,Baa4,Baa4
COMPANHIA ENERGETICA MIRANDA,ENMI21,2,B4,B4
ALGAR TELECOM S.A.,ALGTA4,8,B4,Baa4
TRANSPORTADORA ASSOCIADA DE GAS S.A. - TAG,TSSG21,9,B4,B4
CIA SANEAMENTO BASICO EST. SP - SABESP,SBSPH0,4,Baa1,Baa1
COMPANHIA DE GAS DE SAO PAULO - COMGAS,GASP19,6,Baa4,B4
TIBAGI ENERGIA SPE S/A,TBEG11,10,B4,B4
EQUATORIAL TRANSMISSORA 7 SPE S.A.,ETSP12,14,B4,Baa4
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,ANHBA4,3,Baa4,Baa4
COMPANHIA DE GAS DE SAO PAULO - COMGAS,GASP29,11,Baa4,B4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEEA5,4,Baa3,Baa3
ENERGISA SA,ENGIB6,7,Baa3,Baa3
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,ESULA6,6,Baa3,Baa4
CONCESSIONARIA AUTO RAPOSO TAVARES S/A,CART13,11,B4,B4
SPE TRANSMISSORA DE ENERGIA LINHA VERDE II S.A.,SPLV11,19,Baa3,Baa3
ALIANCA GERACAO DE ENERGIA S/A,ALIG13,10,B4,Baa4
ENGIE BRASIL ENERGIA SA,EGIEA1,8,Baa1,Baa1
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,UQFN15,6,Baa4,Baa4
ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S/A,CTNS19,0,Baa4,Baa4
ELEKTRO REDES S.A.,ELEK27,-2,Baa3,Baa3
ENERGISA MINAS RIO - DISTRIBUIDORA DE ENERGIA S.A.,FLCLA0,0,B4,B4
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,CEMT19,0,Baa4,Baa4
ELDORADO BRASIL CELULOSE S.A.,ELDC14,-1,Baa3,Baa3
ENERGISA MATO GROSSO DO SUL - DISTRIBUIDORA DE ENERGIA S.A.,ESULA4,0,Baa3,Baa4
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,TAEE16,1,Baa1,Baa3
CEMIG DISTRIBUICAO S/A,CMGD27,1,Baa4,Baa4
COMPANHIA ENERGETICA DO RIO GRANDE DO NORTE-COSERN,CSRN19,1,Baa4,Baa4
JSL S.A,JSMLA3,-1,Ba1,Ba5
ELETROPAULO METROPOL. ELETR. DE S.P. S/A,ELPLB3,-2,Baa1,Baa4
INTERLIGACAO ELETRICA DO MADEIRA S/A,IEMD12,0,B4,B4
