TradingDesk,total_credito
KAT,13192765.534120373
ID2,14768195.229614465
FRA,10551161.220152754
APP,28085573.43768893
348,248537.83978232447
652,10048658.161088955
PAL,1930282.849278905
PDA,3864720.96020436
PEM,1070220.709381331
APO,8519196.919580523
PID,13064187.956444677
678,816721669.7469516
KCP,402669680.3021953
BVP,156060938.65421376
RFA,24040761.412226677
KOP,70911616.7488153
134,896006988.0157211
CPI,15892589.356943518
846,409519026.7098117
IRF,63416042.9456546
