Emissor,RatingGrupo,TradingDesk,pl_emissor,PL
COPEL  DISTRIBUICAO S/A,Baa3,348,41.93726817169503,9225719.601444999
ENERGISA SA,Baa3,PDA,47033.78544650333,1172652382.054455
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,CPI,92106.95300947467,54355074.65991
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,FRA,13907.718070065139,78590201.440485
ELETROMIDIA S.A.,Baa4,CPI,2667293.9470006824,54355074.65991
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,134,42945874.347937986,7003331463.740895
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,Baa4,CPI,662606.0968666299,54355074.65991
CEMIG DISTRIBUICAO S/A,Baa4,678,1595164.85456188,6318358039.8425455
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,RFA,95872.86993711237,6165720738.95119
CEMIG DISTRIBUICAO S/A,Baa4,KCP,500979.02883281227,3424900701.5180855
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,652,60465.79807926081,2496049914.0221553
ENGIE BRASIL ENERGIA SA,Baa1,134,198016.48417024157,7003331463.740895
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,APO,38039.16640922858,2279627646.384785
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,134,5778396.880692524,7003331463.740895
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,APP,1878204.3945215498,8430325498.580385
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,RFA,14797.286140959726,6165720738.95119
INSPIRALI EDUCACAO S/A,Baa4,KAT,115476.76842482986,3004467197.6176753
VLI MULTIMODAL S.A.,Baa4,PAL,1661.1603890520068,18720368.46087
ENERGISA SA,Baa3,APP,338573.199526606,8430325498.580385
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,846,15204373.714138374,3130395619.174485
ENGIE BRASIL ENERGIA SA,Baa1,PEM,10.161775718967121,4500317.361375
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,CPI,24458.672069304557,54355074.65991
MRS LOGISTICA S/A,Baa3,348,208.15824615035692,9225719.601444999
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,KAT,1042445.2874774707,3004467197.6176753
ELEKTRO REDES S.A.,Baa3,348,149.24829487360037,9225719.601444999
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,APP,49177.23335954511,8430325498.580385
ENERGISA SA,Baa3,RFA,126956.98027842898,6165720738.95119
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,IRF,953973.6665938525,168954523.486945
COPEL  DISTRIBUICAO S/A,Baa3,RFA,21769.446938625413,6165720738.95119
INSPIRALI EDUCACAO S/A,Baa4,PEM,3685.318602566488,4500317.361375
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,652,7851.4350871410015,2496049914.0221553
ELETROMIDIA S.A.,Baa4,APO,49829.715882604,2279627646.384785
VLI MULTIMODAL S.A.,Baa4,KOP,332232.0778104014,733760002.8074601
ENGIE BRASIL ENERGIA SA,Baa1,KCP,59752.11806492625,3424900701.5180855
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,RFA,31854.817114260422,6165720738.95119
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,ID2,69119.8219023113,3488179932.21023
ENERGISA SA,Baa3,BVP,5118590.830226655,1191376868.3027952
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,IRF,5740327.30542062,168954523.486945
ELEKTRO REDES S.A.,Baa3,RFA,87432.95382690677,6165720738.95119
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,Baa4,846,14232170.642849667,3130395619.174485
ENERGISA SA,Baa3,PEM,10247.463225745665,4500317.361375
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,BVP,1197979.5797349194,1191376868.3027952
ENGIE BRASIL ENERGIA SA,Baa1,APO,6310.217240473767,2279627646.384785
VLI MULTIMODAL S.A.,Baa4,RFA,202764.66104257776,6165720738.95119
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,PDA,12192.621300392806,1172652382.054455
MRS LOGISTICA S/A,Baa3,PID,27221.864677912345,3937179801.4903502
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,PAL,18082.257994297386,18720368.46087
JSL S.A,Ba5,846,1333010.881132689,3130395619.174485
UNIAO QUIMICA FARMACEUTICA NACIONAL S.A.,Baa4,RFA,681238.4845265826,6165720738.95119
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,APP,160898.4286376524,8430325498.580385
JSL S.A,Ba5,CPI,3426.645142360145,54355074.65991
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,KCP,18006151.516743973,3424900701.5180855
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,PEM,4750.149699090054,4500317.361375
ENGIE BRASIL ENERGIA SA,Baa1,846,50648.45894329874,3130395619.174485
TRANSMISSORA ALIANCA DE ENERGIA ELETRICA S/A,Baa3,KCP,638130.3662619937,3424900701.5180855
COPEL  DISTRIBUICAO S/A,Baa3,134,266086.0301183796,7003331463.740895
MRS LOGISTICA S/A,Baa3,RFA,21174.37258479533,6165720738.95119
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,Baa4,KCP,17176949.37621912,3424900701.5180855
INSPIRALI EDUCACAO S/A,Baa4,PID,355335.7357727039,3937179801.4903502
ELEKTRO REDES S.A.,Baa3,APP,80605.6251440893,8430325498.580385
ENERGISA SA,Baa3,846,3961579.116867784,3130395619.174485
ELEKTRO REDES S.A.,Baa3,678,831094.2027508036,6318358039.8425455
ECORODOVIAS CONCESSOES E SERVICOS S/A,Baa4,PDA,176509.43115932436,1172652382.054455
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,652,28561.359705325685,2496049914.0221553
ENERGISA SA,Baa3,FRA,130155.83439588554,78590201.440485
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,348,2044.9191371121433,9225719.601444999
