Emissor,RatingGrupo,TradingDesk,pl_emissor,PL
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,678,11505630.878984869,6318358039.8425455
COPEL  DISTRIBUICAO S/A,Baa3,KCP,28260272.81340222,3424900701.5180855
ENERGISA SA,Baa3,APO,464314.7562191783,2279627646.384785
ENERGISA PARAIBA - DISTRIBUIDORA DE ENERGIA S/A,Baa4,PDA,5663.749552952429,1172652382.054455
COMPANHIA ESTADUAL DE DISTRIBUICAO DE ENERGIA ELETRICA - CEEE D,Baa4,IRF,3506076.170368217,168954523.486945
ALUPAR INVESTIMENTO S/A,Baa3,APO,86240.68443327292,2279627646.384785
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,FRA,453641.8533038747,78590201.440485
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,APO,45335.14406776645,2279627646.384785
ELETROMIDIA S.A.,Baa4,PEM,112471.03895883514,4500317.361375
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Ba4,RFA,-1.0475943272467703e-06,6165720738.95119
CTEEP - COMPANHIA DE TRANSMISSAO DE ENERGIA ELETRICA PAULISTA,Baa3,678,1750161.0350688957,6318358039.8425455
ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.,Baa4,KAT,188309.8524596973,3004467197.6176753
AUTOPISTA REGIS BITTENCOURT S/A,Baa4,APP,480332.81183203915,8430325498.580385
INSPIRALI EDUCACAO S/A,Baa4,348,4047.3171581505194,9225719.601444999
ELETROMIDIA S.A.,Baa4,RFA,563003.8179758484,6165720738.95119
CENTRAIS ELETRICAS BRAS.S/A - ELETROBRAS,Baa3,CPI,679651.9956480692,54355074.65991
ELEKTRO REDES S.A.,Baa3,PAL,2975.293241670879,18720368.46087
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,846,4140159.138016318,3130395619.174485
COMPANHIA ENERGETICA DE PERNAMBUCO-CELPE,Baa4,KAT,640029.3620191296,3004467197.6176753
CIA SANEAMENTO BASICO EST. SP - SABESP,Baa1,PDA,47861.201484357625,1172652382.054455
BORRACHAS VIPAL S.A.,Baa4,CPI,39122.964508456185,54355074.65991
QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.,Ba4,CPI,1.5434125089086593e-12,54355074.65991
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,846,32013407.706836402,3130395619.174485
EQUATORIAL ENERGIA S.A.,Baa4,652,502956.2310324147,2496049914.0221553
COPEL GERACAO E TRANSMISSAO S.A.,Baa3,678,9116781.72389431,6318358039.8425455
ELETROMIDIA S.A.,Baa4,134,64026841.77893571,7003331463.740895
SBF COMERCIO DE PRODUTOS ESPORTIVOS S.A.,Ba4,PAL,41447.746365841085,18720368.46087
JSL S.A,Ba5,PAL,21364.255772959943,18720368.46087
ENERGISA TOCANTINS DISTRIBUIDORA DE ENERGIA S/A,Baa4,ID2,2998226.5147250053,3488179932.21023
CONCESSIONARIA DO SISTEMA ANHANGUERA-BANDEIRANTES S/A,Baa4,134,91366175.72009963,7003331463.740895
ENERGISA SA,Baa3,KAT,1925247.706694205,3004467197.6176753
EQUATORIAL ENERGIA S.A.,Baa4,RFA,1307093.8206230374,6165720738.95119
AES BRASIL OPERACOES S.A.,Baa4,APO,28787.504785577254,2279627646.384785
ALUPAR INVESTIMENTO S/A,Baa3,PEM,3489.4293103478813,4500317.361375
