TradingDesk,PlCreditoPrivado
KAT,53656478.13360982
ID2,136292300.37466908
FRA,65888741.24425997
APP,410361617.88412726
348,1416270.023292526
PAL,13437316.567813154
652,70339250.70284937
PDA,70946659.28461555
PEM,4281681.367823387
APO,81094561.5522138
PID,239221065.34069052
678,4611616366.166345
KRF,156204.05276978444
KCP,2628445322.683944
BVP,762748557.2822202
RFA,237395367.51523477
KOP,539621341.1230137
134,5165526944.101875
CPI,56472712.82964851
846,2354060126.991986
IRF,116523659.10976376
