TradingDesk,total_credito
KAT,12999448.1921334
ID2,14682364.475098964
FRA,10418472.726616628
APP,27724214.024703454
348,245994.72116581092
652,9986244.227656532
PAL,1906049.5433192414
PDA,3814438.62519624
PEM,968744.9384467885
APO,8463273.542152926
PID,12895232.98811618
678,805025782.4435694
KCP,397373593.6608766
BVP,151016215.91214365
RFA,23899473.96307604
KOP,70911616.7488153
134,883149766.055748
CPI,15691739.53829646
846,405328219.1128521
IRF,58470525.4099803
