TradingDesk,sum(Position)
KAT,12898919.660971295
ID2,14669307.447247585
FRA,10281905.469546685
APP,27374965.236478407
348,244198.99872338786
PAL,1884685.2875476566
652,9955350.028512001
PDA,3771845.9223081474
PEM,967033.7956798373
APO,8448618.530373186
PID,12745492.913276555
678,797982571.7910218
KCP,393499210.41490936
BVP,147768177.20409763
RFA,23892944.49790247
KOP,70091786.8982039
134,875577608.9045696
CPI,15654501.946199287
846,402368841.9882206
IRF,58470525.40998029
